time,enrolled,available,waitlisted,total
2023-07-31T14:53:23,0,0,0,0
2023-07-31T15:05:57,0,0,0,0
2023-07-31T15:18:30,0,0,0,0
2023-07-31T15:31:03,0,0,0,0
2023-07-31T15:43:38,0,0,0,0
2023-07-31T15:56:23,0,0,0,0
2023-07-31T16:08:57,0,0,0,0
2023-07-31T16:21:31,0,0,0,0
2023-07-31T16:34:04,0,0,0,0
2023-07-31T16:46:38,0,0,0,0
2023-07-31T16:59:12,0,0,0,0
2023-07-31T17:11:46,0,0,0,0
2023-07-31T17:24:21,0,0,0,0
2023-07-31T17:36:55,0,0,0,0
2023-07-31T17:49:39,0,0,0,0
2023-07-31T18:02:13,0,0,0,0
2023-07-31T18:14:48,0,0,0,0
2023-07-31T18:27:22,0,0,0,0
2023-07-31T18:39:58,0,0,0,0
2023-07-31T18:52:31,0,0,0,0
2023-07-31T19:05:06,0,0,0,0
2023-07-31T19:17:40,0,0,0,0
2023-07-31T19:30:15,0,0,0,0
2023-07-31T19:42:49,0,0,0,0
2023-07-31T19:55:32,0,0,0,0
2023-07-31T20:08:07,0,0,0,0
2023-07-31T20:20:41,0,0,0,0
2023-07-31T20:33:14,0,0,0,0
2023-07-31T20:45:48,0,0,0,0
2023-07-31T20:58:22,0,0,0,0
2023-07-31T21:10:56,0,0,0,0
2023-07-31T21:23:30,0,0,0,0
2023-07-31T21:36:03,0,0,0,0
2023-07-31T21:48:37,0,0,0,0
2023-07-31T22:01:21,0,0,0,0
2023-07-31T22:13:54,0,0,0,0
2023-07-31T22:26:27,0,0,0,0
2023-07-31T22:39:01,0,0,0,0
2023-07-31T22:51:34,0,0,0,0
2023-07-31T23:04:08,0,0,0,0
2023-07-31T23:16:45,0,0,0,0
2023-07-31T23:29:20,0,0,0,0
2023-07-31T23:41:54,0,0,0,0
2023-07-31T23:54:29,0,0,0,0
2023-08-01T00:07:14,0,0,0,0
2023-08-01T00:19:52,0,0,0,0
2023-08-01T00:32:30,0,0,0,0
2023-08-01T00:45:08,0,0,0,0
2023-08-01T00:57:47,0,0,0,0
2023-08-01T01:10:23,0,0,0,0
2023-08-01T01:23:01,0,0,0,0
2023-08-01T01:35:40,0,0,0,0
2023-08-01T01:48:17,0,0,0,0
2023-08-01T02:00:55,0,0,0,0
2023-08-01T02:13:33,0,0,0,0
2023-08-01T02:26:11,0,0,0,0
2023-08-01T02:38:48,0,0,0,0
2023-08-01T02:51:23,0,0,0,0
2023-08-01T03:03:58,0,0,0,0
2023-08-01T03:16:35,0,0,0,0
