time,enrolled,available,waitlisted,total
2023-05-25T01:13:27,0,30,0,30
2023-05-25T01:25:04,0,30,0,30
2023-05-25T01:36:39,0,30,0,30
2023-05-25T01:48:24,0,30,0,30
2023-05-25T01:59:59,0,30,0,30
2023-05-25T02:11:35,0,30,0,30
2023-05-25T02:23:12,0,30,0,30
2023-05-25T02:34:46,0,30,0,30
2023-05-25T02:46:19,0,30,0,30
2023-05-25T02:57:52,0,30,0,30
2023-05-25T03:09:27,0,30,0,30
2023-05-25T03:21:06,0,30,0,30
2023-05-25T03:33:04,0,30,0,30
2023-05-25T03:44:40,0,30,0,30
2023-05-25T03:56:16,0,30,0,30
2023-05-25T04:15:37,0,30,0,30
2023-05-25T04:27:39,0,30,0,30
2023-05-25T04:39:16,0,30,0,30
2023-05-25T04:50:52,0,30,0,30
2023-05-25T05:02:28,0,30,0,30
2023-05-25T05:14:05,0,30,0,30
2023-05-25T05:25:41,0,30,0,30
2023-05-25T05:37:17,0,30,0,30
2023-05-25T05:48:53,0,30,0,30
2023-05-25T06:00:30,0,30,0,30
2023-05-25T06:12:06,0,30,0,30
2023-05-25T06:23:41,0,30,0,30
2023-05-25T06:35:15,0,30,0,30
2023-05-25T06:46:51,0,30,0,30
2023-05-25T06:58:26,0,30,0,30
2023-05-25T07:10:02,0,30,0,30
2023-05-25T07:21:36,0,30,0,30
2023-05-25T07:33:10,0,30,0,30
2023-05-25T07:44:46,0,30,0,30
2023-05-25T07:56:22,0,30,0,30
2023-05-25T08:07:57,0,30,0,30
2023-05-25T08:19:32,0,30,0,30
2023-05-25T08:31:16,0,30,0,30
2023-05-25T08:42:49,0,30,0,30
2023-05-25T08:54:20,0,30,0,30
2023-05-25T09:05:55,0,30,0,30
2023-05-25T09:17:27,0,30,0,30
2023-05-25T09:29:00,0,30,0,30
2023-05-25T09:40:32,0,30,0,30
2023-05-25T09:52:05,0,30,0,30
2023-05-25T10:03:39,0,30,0,30
2023-05-25T10:15:23,0,30,0,30
2023-05-25T10:26:56,0,30,0,30
2023-05-25T10:38:29,0,30,0,30
2023-05-25T10:50:01,0,30,0,30
2023-05-25T11:01:44,0,30,0,30
2023-05-25T11:13:16,0,30,0,30
2023-05-25T11:24:49,0,30,0,30
2023-05-25T11:36:22,0,30,0,30
2023-05-25T11:47:55,0,30,0,30
2023-05-25T11:59:39,0,30,0,30
2023-05-25T12:11:12,0,30,0,30
2023-05-25T12:22:45,0,30,0,30
2023-05-25T12:34:18,0,30,0,30
2023-05-25T12:45:51,0,30,0,30
2023-05-25T12:57:24,0,30,0,30
2023-05-25T13:09:06,0,30,0,30
2023-05-25T13:20:39,0,30,0,30
2023-05-25T13:32:13,0,30,0,30
2023-05-25T13:43:46,0,30,0,30
2023-05-25T13:55:19,0,30,0,30
2023-05-25T14:07:04,0,30,0,30
2023-05-25T14:18:37,0,30,0,30
2023-05-25T14:30:10,0,30,0,30
2023-05-25T14:41:43,0,30,0,30
2023-05-25T14:53:17,0,30,0,30
2023-05-25T15:05:00,0,30,0,30
2023-05-25T15:16:35,0,30,0,30
2023-05-25T15:28:09,0,30,0,30
2023-05-25T15:39:44,0,30,0,30
2023-05-25T15:51:18,0,30,0,30
2023-05-25T16:02:53,0,30,0,30
2023-05-25T16:14:38,0,30,0,30
2023-05-25T16:26:13,0,30,0,30
2023-05-25T16:37:48,0,30,0,30
2023-05-25T16:49:24,0,30,0,30
2023-05-25T17:01:00,0,30,0,30
2023-05-25T17:12:37,0,30,0,30
2023-05-25T17:24:23,0,30,0,30
2023-05-25T17:35:59,0,30,0,30
2023-05-25T17:47:35,0,30,0,30
2023-05-25T17:59:10,0,30,0,30
2023-05-25T18:10:47,0,30,0,30
2023-05-25T18:22:23,0,30,0,30
2023-05-25T18:33:58,0,30,0,30
2023-05-25T18:45:43,0,30,0,30
2023-05-25T18:57:19,0,30,0,30
2023-05-25T19:08:56,0,30,0,30
2023-05-25T19:20:31,0,30,0,30
2023-05-25T19:32:07,0,30,0,30
2023-05-25T19:43:44,0,30,0,30
2023-05-25T19:55:29,0,30,0,30
2023-05-25T20:07:04,0,30,0,30
2023-05-25T20:18:40,0,30,0,30
2023-05-25T20:30:17,0,30,0,30
2023-05-25T20:41:52,0,30,0,30
2023-05-25T20:53:28,0,30,0,30
2023-05-25T21:05:03,0,30,0,30
2023-05-25T21:16:40,0,30,0,30
2023-05-25T21:28:26,0,30,0,30
2023-05-25T21:40:02,0,30,0,30
2023-05-25T21:51:38,0,30,0,30
2023-05-25T22:03:13,0,30,0,30
2023-05-25T22:14:48,0,30,0,30
2023-05-25T22:26:24,0,30,0,30
2023-05-25T22:37:59,0,30,0,30
2023-05-25T22:49:45,0,30,0,30
2023-05-25T23:01:21,0,30,0,30
2023-05-25T23:12:59,0,30,0,30
2023-05-25T23:24:35,0,30,0,30
2023-05-25T23:36:11,0,30,0,30
2023-05-25T23:47:47,0,30,0,30
2023-05-25T23:59:23,0,30,0,30
2023-05-26T00:11:20,0,30,0,30
