time,enrolled,available,waitlisted,total
2023-05-25T01:17:07,0,90,0,90
2023-05-25T01:28:43,0,90,0,90
2023-05-25T01:40:18,0,90,0,90
2023-05-25T01:52:03,0,90,0,90
2023-05-25T02:03:38,0,90,0,90
2023-05-25T02:15:14,0,90,0,90
2023-05-25T02:26:50,0,90,0,90
2023-05-25T02:38:23,0,90,0,90
2023-05-25T02:49:57,0,90,0,90
2023-05-25T03:01:30,0,90,0,90
2023-05-25T03:13:07,0,90,0,90
2023-05-25T03:25:06,0,90,0,90
2023-05-25T03:36:43,0,90,0,90
2023-05-25T03:48:19,0,90,0,90
2023-05-25T03:59:55,0,90,0,90
2023-05-25T04:19:18,0,90,0,90
2023-05-25T04:31:18,0,90,0,90
2023-05-25T04:42:55,0,90,0,90
2023-05-25T04:54:31,0,90,0,90
2023-05-25T05:06:07,0,90,0,90
2023-05-25T05:17:44,0,90,0,90
2023-05-25T05:29:20,0,90,0,90
2023-05-25T05:40:56,0,90,0,90
2023-05-25T05:52:32,0,90,0,90
2023-05-25T06:04:09,0,90,0,90
2023-05-25T06:15:44,0,90,0,90
2023-05-25T06:27:19,0,90,0,90
2023-05-25T06:38:54,0,90,0,90
2023-05-25T06:50:30,0,90,0,90
2023-05-25T07:02:05,0,90,0,90
2023-05-25T07:13:40,0,90,0,90
2023-05-25T07:25:15,0,90,0,90
2023-05-25T07:36:48,0,90,0,90
2023-05-25T07:48:26,0,90,0,90
2023-05-25T08:00:01,0,90,0,90
2023-05-25T08:11:35,0,90,0,90
2023-05-25T08:23:20,0,90,0,90
2023-05-25T08:34:54,0,90,0,90
2023-05-25T08:46:26,0,90,0,90
2023-05-25T08:57:59,0,90,0,90
2023-05-25T09:09:32,0,90,0,90
2023-05-25T09:21:05,0,90,0,90
2023-05-25T09:32:38,0,90,0,90
2023-05-25T09:44:10,0,90,0,90
2023-05-25T09:55:43,0,90,0,90
2023-05-25T10:07:17,0,90,0,90
2023-05-25T10:19:01,0,90,0,90
2023-05-25T10:30:34,0,90,0,90
2023-05-25T10:42:06,0,90,0,90
2023-05-25T10:53:49,0,90,0,90
2023-05-25T11:05:22,0,90,0,90
2023-05-25T11:16:55,0,90,0,90
2023-05-25T11:28:27,0,90,0,90
2023-05-25T11:40:00,0,90,0,90
2023-05-25T11:51:33,0,90,0,90
2023-05-25T12:03:17,0,90,0,90
2023-05-25T12:14:50,0,90,0,90
2023-05-25T12:26:23,0,90,0,90
2023-05-25T12:37:56,0,90,0,90
2023-05-25T12:49:28,0,90,0,90
2023-05-25T13:01:12,0,90,0,90
2023-05-25T13:12:44,0,90,0,90
2023-05-25T13:24:17,0,90,0,90
2023-05-25T13:35:51,0,90,0,90
2023-05-25T13:47:23,0,90,0,90
2023-05-25T13:58:57,0,90,0,90
2023-05-25T14:10:41,0,90,0,90
2023-05-25T14:22:15,0,90,0,90
2023-05-25T14:33:48,0,90,0,90
2023-05-25T14:45:21,0,90,0,90
2023-05-25T14:56:54,0,90,0,90
2023-05-25T15:08:38,0,90,0,90
2023-05-25T15:20:13,0,90,0,90
2023-05-25T15:31:47,0,90,0,90
2023-05-25T15:43:22,0,90,0,90
2023-05-25T15:54:56,0,90,0,90
2023-05-25T16:06:42,0,90,0,90
2023-05-25T16:18:17,0,90,0,90
2023-05-25T16:29:52,0,90,0,90
2023-05-25T16:41:27,0,90,0,90
2023-05-25T16:53:02,0,90,0,90
2023-05-25T17:04:39,0,90,0,90
2023-05-25T17:16:26,0,90,0,90
2023-05-25T17:28:02,0,90,0,90
2023-05-25T17:39:37,0,90,0,90
2023-05-25T17:51:13,0,90,0,90
2023-05-25T18:02:49,0,90,0,90
2023-05-25T18:14:26,0,90,0,90
2023-05-25T18:26:01,0,90,0,90
2023-05-25T18:37:46,0,90,0,90
2023-05-25T18:49:22,0,90,0,90
2023-05-25T19:00:58,0,90,0,90
2023-05-25T19:12:34,0,90,0,90
2023-05-25T19:24:10,0,90,0,90
2023-05-25T19:35:46,0,90,0,90
2023-05-25T19:47:22,0,90,0,90
2023-05-25T19:59:07,0,90,0,90
2023-05-25T20:10:43,0,90,0,90
2023-05-25T20:22:19,0,90,0,90
2023-05-25T20:33:55,0,90,0,90
2023-05-25T20:45:30,0,90,0,90
2023-05-25T20:57:06,0,90,0,90
2023-05-25T21:08:41,0,90,0,90
2023-05-25T21:20:29,0,90,0,90
2023-05-25T21:32:05,0,90,0,90
2023-05-25T21:43:41,0,90,0,90
2023-05-25T21:55:16,0,90,0,90
2023-05-25T22:06:52,0,90,0,90
2023-05-25T22:18:27,0,90,0,90
2023-05-25T22:30:02,0,90,0,90
2023-05-25T22:41:38,0,90,0,90
2023-05-25T22:53:24,0,90,0,90
2023-05-25T23:05:02,0,90,0,90
2023-05-25T23:16:38,0,90,0,90
2023-05-25T23:28:14,0,90,0,90
2023-05-25T23:39:50,0,90,0,90
2023-05-25T23:51:26,0,90,0,90
2023-05-26T00:03:09,0,90,0,90
2023-05-26T00:15:01,0,90,0,90
2023-05-26T00:26:40,0,90,0,90
2023-05-26T00:38:19,0,90,0,90
2023-05-26T00:49:58,0,90,0,90
2023-05-26T01:01:37,0,90,0,90
2023-05-26T01:13:16,0,90,0,90
2023-05-26T01:24:54,0,90,0,90
2023-05-26T01:36:32,0,90,0,90
2023-05-26T01:48:20,0,90,0,90
2023-05-26T02:00:01,0,90,0,90
2023-05-26T02:11:40,0,90,0,90
2023-05-26T02:23:17,0,90,0,90
2023-05-26T02:34:55,0,90,0,90
2023-05-26T02:46:44,0,90,0,90
2023-05-26T02:58:24,0,90,0,90
2023-05-26T03:10:05,0,90,0,90
2023-05-26T03:21:46,0,90,0,90
2023-05-26T03:33:24,0,90,0,90
2023-05-26T03:45:03,0,90,0,90
2023-05-26T03:56:41,0,90,0,90
2023-05-26T04:08:29,0,90,0,90
2023-05-26T04:30:29,0,90,0,90
2023-05-26T04:42:32,0,90,0,90
2023-05-26T04:54:14,0,90,0,90
2023-05-26T05:05:55,0,90,0,90
2023-05-26T05:17:35,0,90,0,90
2023-05-26T05:29:14,0,90,0,90
2023-05-26T05:40:53,0,90,0,90
2023-05-26T05:52:32,0,90,0,90
2023-05-26T06:04:10,0,90,0,90
2023-05-26T06:15:49,0,90,0,90
2023-05-26T06:27:28,0,90,0,90
2023-05-26T06:39:07,0,90,0,90
2023-05-26T06:50:46,0,90,0,90
2023-05-26T07:02:23,0,90,0,90
2023-05-26T07:14:02,0,90,0,90
2023-05-26T07:25:41,0,90,0,90
2023-05-26T07:37:26,0,90,0,90
2023-05-26T07:49:03,0,90,0,90
2023-05-26T08:00:40,0,90,0,90
2023-05-26T08:12:16,0,90,0,90
2023-05-26T08:23:52,0,90,0,90
2023-05-26T08:35:28,0,90,0,90
2023-05-26T08:47:04,0,90,0,90
2023-05-26T08:58:40,0,90,0,90
2023-05-26T09:10:17,0,90,0,90
2023-05-26T09:21:53,0,90,0,90
2023-05-26T09:33:41,0,90,0,90
2023-05-26T09:45:17,0,90,0,90
2023-05-26T09:56:53,0,90,0,90
2023-05-26T10:08:29,0,90,0,90
2023-05-26T10:20:06,2,88,0,90
2023-05-26T10:31:42,2,88,0,90
2023-05-26T10:43:30,2,88,0,90
