time,enrolled,available,waitlisted,total
2023-05-25T01:16:20,0,84,0,84
2023-05-25T01:27:56,0,84,0,84
2023-05-25T01:39:31,0,84,0,84
2023-05-25T01:51:15,0,84,0,84
2023-05-25T02:02:51,0,84,0,84
2023-05-25T02:14:27,0,84,0,84
2023-05-25T02:26:03,0,84,0,84
2023-05-25T02:37:36,0,84,0,84
2023-05-25T02:49:10,0,84,0,84
2023-05-25T03:00:43,0,84,0,84
2023-05-25T03:12:20,0,84,0,84
2023-05-25T03:24:19,0,84,0,84
2023-05-25T03:35:56,0,84,0,84
2023-05-25T03:47:32,0,84,0,84
2023-05-25T03:59:08,0,84,0,84
2023-05-25T04:18:30,0,84,0,84
2023-05-25T04:30:31,0,84,0,84
2023-05-25T04:42:08,0,84,0,84
2023-05-25T04:53:44,0,84,0,84
2023-05-25T05:05:20,0,84,0,84
2023-05-25T05:16:57,0,84,0,84
2023-05-25T05:28:33,0,84,0,84
2023-05-25T05:40:09,0,84,0,84
2023-05-25T05:51:45,0,84,0,84
2023-05-25T06:03:22,0,84,0,84
2023-05-25T06:14:57,0,84,0,84
2023-05-25T06:26:32,0,84,0,84
2023-05-25T06:38:07,0,84,0,84
2023-05-25T06:49:43,0,84,0,84
2023-05-25T07:01:18,0,84,0,84
2023-05-25T07:12:53,0,84,0,84
2023-05-25T07:24:28,0,84,0,84
2023-05-25T07:36:01,0,84,0,84
2023-05-25T07:47:39,0,84,0,84
2023-05-25T07:59:14,0,84,0,84
2023-05-25T08:10:48,0,84,0,84
2023-05-25T08:22:33,0,84,0,84
2023-05-25T08:34:07,0,84,0,84
2023-05-25T08:45:39,0,84,0,84
2023-05-25T08:57:12,0,84,0,84
2023-05-25T09:08:45,0,84,0,84
2023-05-25T09:20:18,0,84,0,84
2023-05-25T09:31:51,0,84,0,84
2023-05-25T09:43:23,0,84,0,84
2023-05-25T09:54:56,0,84,0,84
2023-05-25T10:06:30,0,84,0,84
2023-05-25T10:18:14,0,84,0,84
2023-05-25T10:29:47,0,84,0,84
2023-05-25T10:41:20,0,84,0,84
2023-05-25T10:53:02,0,84,0,84
2023-05-25T11:04:35,0,84,0,84
2023-05-25T11:16:07,0,84,0,84
2023-05-25T11:27:40,0,84,0,84
2023-05-25T11:39:13,0,84,0,84
2023-05-25T11:50:46,0,84,0,84
2023-05-25T12:02:30,0,84,0,84
2023-05-25T12:14:03,0,84,0,84
2023-05-25T12:25:36,0,84,0,84
2023-05-25T12:37:09,0,84,0,84
2023-05-25T12:48:42,0,84,0,84
2023-05-25T13:00:25,0,84,0,84
2023-05-25T13:11:57,0,84,0,84
2023-05-25T13:23:30,0,84,0,84
2023-05-25T13:35:04,0,84,0,84
2023-05-25T13:46:37,0,84,0,84
2023-05-25T13:58:10,0,84,0,84
2023-05-25T14:09:55,0,84,0,84
2023-05-25T14:21:28,0,84,0,84
2023-05-25T14:33:01,0,84,0,84
2023-05-25T14:44:34,0,84,0,84
2023-05-25T14:56:08,0,84,0,84
2023-05-25T15:07:51,0,84,0,84
2023-05-25T15:19:26,0,84,0,84
2023-05-25T15:31:00,0,84,0,84
2023-05-25T15:42:35,0,84,0,84
2023-05-25T15:54:09,0,84,0,84
2023-05-25T16:05:55,0,84,0,84
2023-05-25T16:17:30,0,84,0,84
2023-05-25T16:29:05,0,84,0,84
2023-05-25T16:40:40,0,84,0,84
2023-05-25T16:52:15,0,84,0,84
2023-05-25T17:03:52,0,84,0,84
2023-05-25T17:15:40,0,84,0,84
2023-05-25T17:27:15,0,84,0,84
2023-05-25T17:38:50,0,84,0,84
2023-05-25T17:50:26,0,84,0,84
2023-05-25T18:02:02,0,84,0,84
2023-05-25T18:13:39,0,84,0,84
2023-05-25T18:25:14,0,84,0,84
2023-05-25T18:37:00,0,84,0,84
2023-05-25T18:48:35,0,84,0,84
2023-05-25T19:00:11,0,84,0,84
2023-05-25T19:11:48,0,84,0,84
2023-05-25T19:23:23,0,84,0,84
2023-05-25T19:34:59,0,84,0,84
2023-05-25T19:46:35,0,84,0,84
2023-05-25T19:58:20,0,84,0,84
2023-05-25T20:09:56,0,84,0,84
2023-05-25T20:21:32,0,84,0,84
2023-05-25T20:33:08,0,84,0,84
2023-05-25T20:44:44,0,84,0,84
2023-05-25T20:56:19,0,84,0,84
2023-05-25T21:07:55,0,84,0,84
2023-05-25T21:19:42,0,84,0,84
2023-05-25T21:31:18,0,84,0,84
2023-05-25T21:42:54,0,84,0,84
2023-05-25T21:54:29,0,84,0,84
2023-05-25T22:06:05,0,84,0,84
2023-05-25T22:17:40,0,84,0,84
2023-05-25T22:29:15,0,84,0,84
2023-05-25T22:40:51,0,84,0,84
2023-05-25T22:52:37,0,84,0,84
2023-05-25T23:04:15,0,84,0,84
2023-05-25T23:15:51,0,84,0,84
2023-05-25T23:27:27,0,84,0,84
2023-05-25T23:39:03,0,84,0,84
2023-05-25T23:50:39,0,84,0,84
2023-05-26T00:02:22,0,84,0,84
2023-05-26T00:14:13,0,84,0,84
2023-05-26T00:25:53,0,84,0,84
2023-05-26T00:37:32,0,84,0,84
2023-05-26T00:49:10,0,84,0,84
2023-05-26T01:00:50,0,84,0,84
2023-05-26T01:12:29,0,84,0,84
2023-05-26T01:24:07,0,84,0,84
2023-05-26T01:35:45,0,84,0,84
2023-05-26T01:47:33,0,84,0,84
2023-05-26T01:59:13,0,84,0,84
2023-05-26T02:10:53,0,84,0,84
2023-05-26T02:22:31,0,84,0,84
2023-05-26T02:34:08,0,84,0,84
2023-05-26T02:45:57,0,84,0,84
2023-05-26T02:57:37,0,84,0,84
2023-05-26T03:09:18,0,84,0,84
2023-05-26T03:20:59,0,84,0,84
2023-05-26T03:32:37,0,84,0,84
2023-05-26T03:44:15,0,84,0,84
2023-05-26T03:55:54,0,84,0,84
2023-05-26T04:07:42,0,84,0,84
2023-05-26T04:29:42,0,84,0,84
2023-05-26T04:41:45,0,84,0,84
2023-05-26T04:53:27,0,84,0,84
2023-05-26T05:05:08,0,84,0,84
2023-05-26T05:16:48,0,84,0,84
2023-05-26T05:28:27,0,84,0,84
2023-05-26T05:40:06,0,84,0,84
2023-05-26T05:51:45,0,84,0,84
2023-05-26T06:03:23,0,84,0,84
2023-05-26T06:15:02,0,84,0,84
2023-05-26T06:26:41,0,84,0,84
2023-05-26T06:38:20,0,84,0,84
2023-05-26T06:49:59,0,84,0,84
2023-05-26T07:01:36,0,84,0,84
2023-05-26T07:13:15,0,84,0,84
2023-05-26T07:24:54,0,84,0,84
2023-05-26T07:36:39,0,84,0,84
2023-05-26T07:48:16,0,84,0,84
2023-05-26T07:59:53,0,84,0,84
2023-05-26T08:11:29,0,84,0,84
2023-05-26T08:23:05,0,84,0,84
2023-05-26T08:34:42,0,84,0,84
2023-05-26T08:46:18,0,84,0,84
2023-05-26T08:57:54,0,84,0,84
2023-05-26T09:09:30,0,84,0,84
2023-05-26T09:21:06,0,84,0,84
2023-05-26T09:32:54,0,84,0,84
2023-05-26T09:44:30,0,84,0,84
2023-05-26T09:56:06,0,84,0,84
2023-05-26T10:07:42,0,84,0,84
2023-05-26T10:19:18,0,84,0,84
2023-05-26T10:30:55,0,84,0,84
2023-05-26T10:42:43,0,84,0,84
2023-05-26T10:54:19,0,84,0,84
2023-05-26T11:05:55,1,83,0,84
2023-05-26T11:17:32,1,83,0,84
2023-05-26T11:29:08,1,83,0,84
